Site,Plot,Moisutre,Soil wt (g),,DM wt (g)
Ag,1,0.23206602,25.05,,19.2367462
Ag,2,0.248996572,25.3,,19.00038673
Ag,3,0.172866488,26.22,,21.68744068
Ag,4,0.172110309,26.07,,21.58308424
Ag,5,0.166550621,24.98,,20.81956549
Ag,6,0.194503974,26.14,,21.05566612
Ag,7,0.148999958,25.04,,21.30904105
Ag,8,0.152309306,25.72,,21.80260465
Ag,9,0.227506766,24.83,,19.181007
Ag,10,0.132409872,25.07,,21.75048451
Ag,11,0.225784465,25.63,,19.84314416
Ag,12,0.158987099,26.02,,21.88315568
MSM,1,0.374656013,26.26,,16.4215331
MSM,2,0.570370834,25.73,,11.05435844
MSM,3,0.559855916,24.94,,10.97719345
MSM,4,0.330970538,25.1,,16.7926395
MSM,5,0.476391189,23.98,,12.55613929
MSM,6,0.443299569,25.94,,14.44080918
MSM,7,0.413477052,25.3,,14.83903058
MSM,8,0.383639774,24.54,,15.12547995
MSM,9,0.41202643,25.96,,15.26379388
MSM,10,0.411629591,25.94,,15.26232841
MSM,11,0.424780849,25.06,,14.41499192
MSM,12,0.348288133,25.54,,16.64472108
