,,NH4-control,NH4_incubated,con_soil_wt,inc_soil_wt,Moisture,con_DM_wt,inc_DM_wt,con_NH4/gDM,inc_NH4/gDM,PMN(ugNH4-N/(gDM*Day))
Sep,_MI9_A_1,12.8,6.4,8.31,8.76,0.625343987,5.196608532,5.478013326,2.463144938,1.16830676,-0.184976883
Sep,_MI9_A_2,16.4,33.2,8.44,8.26,0.429629166,3.626070161,3.548736911,4.522802724,9.355441339,0.690376945
Sep,_MI9_A_3,14.8,20.4,7.91,8.24,0.440144084,3.481539704,3.626787252,4.250992738,5.624812977,0.196260034
Sep,_MI9_A_4,19.2,20.4,8.63,8.52,0.669029462,5.773724257,5.700131016,3.325409934,3.578865107,0.036207882
Sep,_MI9_A_5,16,30,8.6,8.62,0.523608811,4.503035775,4.513507951,3.553158536,6.646714779,0.441936606
Sep,_MI9_A_6,10.4,12.8,8.54,8.43,0.556700431,4.754221681,4.692984633,2.187529463,2.72747537,0.07713513
Sep,_MI9_A_7,8,10.8,8.37,8.62,0.586522948,4.909197075,5.055827812,1.629594387,2.136148699,0.072364902
Sep,_MI9_A_8,39.6,37.6,8.36,8.65,0.616360226,5.152771489,5.331515955,7.685184581,7.052403166,-0.090397345
Sep,_MI9_A_9,38,22,8.14,8.56,0.58797357,4.78610486,5.033053759,7.939650533,4.371103718,-0.509792402
Sep,_MI9_A_10,48,53.2,7.95,8.67,0.588370409,4.677544752,5.101171446,10.26179386,10.42897706,0.023883315
Sep,_MI9_A_11,39.6,59.2,7.97,8.75,0.575219151,4.584496633,5.033167571,8.63780763,11.76197676,0.446309876
Sep,_MI9_A_12,8.4,7.6,8.35,8.09,0.651711867,5.441794089,5.272349004,1.543608571,1.441482723,-0.014589407
Sep,_Ag_A_1,5.6,23.6,8.82,8.55,0.76793398,6.773177704,6.565835529,0.826790651,3.594363565,0.395367559
Sep,_Ag_A_2,5.6,30.8,8.43,8.35,0.751003428,6.330958898,6.270878624,0.884542151,4.911592433,0.575292898
Sep,_Ag_A_3,5.6,23.6,8.45,8.64,0.827133512,6.989278176,7.146433544,0.801227231,3.302346528,0.357302757
Sep,_Ag_A_4,4.8,12.8,8.28,8.32,0.827889691,6.854926641,6.888042229,0.700226312,1.858292904,0.165438085
Sep,_Ag_A_5,4.4,61.2,8.59,8.04,0.833449379,7.159330166,6.700933007,0.614582635,9.133056536,1.216924843
Sep,_Ag_A_6,4.8,62.8,8.71,8.95,0.805496026,7.015870386,7.209189433,0.684163152,8.711104152,1.146705857
Sep,_Ag_A_7,4.4,44,8.23,8.78,0.851000042,7.003730346,7.471780369,0.628236637,5.888824059,0.751512489
Sep,_Ag_A_8,4.4,15.2,8.87,8.91,0.847690694,7.519016456,7.552924084,0.585182919,2.012465614,0.203897528
Sep,_Ag_A_9,5.6,47.6,8.39,8.58,0.772493234,6.481218233,6.627991948,0.864035093,7.181662316,0.902518175
Sep,_Ag_A_10,5.2,48,8.28,8.66,0.867590128,7.18364626,7.513330508,0.723866378,6.388644815,0.809254062
Sep,_Ag_A_11,6,53.2,8.5,8.14,0.774215535,6.580832048,6.302114455,0.911738813,8.441611205,1.075696056
Sep,_Ag_A_12,5.2,43.2,8.7,8.85,0.841012901,7.316812239,7.442964174,0.71069201,5.804139183,0.72763531
