,Soil moisture,converted moisture,DEA Bottle ID ,DEA Bottle bottle wts ,DM wts
M-1,0.364701436,0.635298564,MI9_A_1,25.4,16.13658353
M-2,0.38097288,0.61902712,MI9_A_2,26.33,16.29898407
M-3,0.322111388,0.677888612,MI9_A_3,26.48,17.95049045
M-4,0.408250967,0.591749033,MI9_A_4,25.97,15.36772239
M-5,0.465509761,0.534490239,MI9_A_5,25.6,13.68295012
M-6,0.333199195,0.666800805,MI9_A_6,26.5,17.67022133
M-7,0.451734225,0.548265775,MI9_A_7,26.27,14.40294191
M-8,0.306390182,0.693609818,MI9_A_8,25.56,17.72866695
M-9,0.300258844,0.699741156,MI9_A_9,25.91,18.13029335
M-10,0.334330911,0.665669089,MI9_A_10,26.4,17.57366395
M-11,0.417112299,0.582887701,MI9_A_11,28.33,16.51320857
M-12,0.567762269,0.432237731,MI9_A_12,25.85,11.17334535
A-1,0.266514806,0.733485194,M_N_1,26.61,16.90529479
A-2,0.28203094,0.71796906,M_N_2,25.92,16.04518295
A-3,0.242345034,0.757654966,M_N_3,25.55,17.32005404
A-4,0.249585406,0.750414594,M_N_4,26.04,15.40914482
A-5,0.185018727,0.814981273,M_N_5,25.77,13.77381346
A-6,0.271685761,0.728314239,M_N_6,25.45,16.97008049
A-7,0.238452873,0.761547127,M_N_7,25.6,14.03560384
A-8,0.213912344,0.786087656,M_N_8,25.27,17.5275201
A-9,0.233627667,0.766372333,M_N_9,26.22,18.34721311
A-10,0.215838509,0.784161491,M_N_10,25.29,16.83477126
A-11,0.247626582,0.752373418,M_N_11,24.9,14.51390375
A-12,0.246559633,0.753440367,M_N_12,25.38,10.97019361
,,,Ag_A_1,26.5,19.43735764
,,,Ag_A_2,26.21,18.81796906
,,,Ag_A_3,25.6,19.39596713
,,,Ag_A_4,25.53,19.15808458
,,,Ag_A_5,26.98,21.98819475
,,,Ag_A_6,26.29,19.14738134
,,,Ag_A_7,25.01,19.04629365
,,,Ag_A_8,25.56,20.09240049
,,,Ag_A_9,26.64,20.41615895
,,,Ag_A_10,26.55,20.81948759
,,,Ag_A_11,25.04,18.83943039
,,,Ag_A_12,25.26,19.03190367
,,,Ag_N_1,25.92,19.01193623
,,,Ag_N_2,25.17,18.07128124
,,,Ag_N_3,26.4,20.0020911
,,,Ag_N_4,25.76,19.33067994
,,,Ag_N_5,26.04,21.22211235
,,,Ag_N_6,25.64,18.67397709
,,,Ag_N_7,24.98,19.02344723
,,,Ag_N_8,25.9,20.35967029
,,,Ag_N_9,25.81,19.78006991
,,,Ag_N_10,25.15,19.7216615
,,,Ag_N_11,25.98,19.5466614
,,,Ag_N_12,25.01,18.84354358
