,,NH4-control (ugN),NH4_incubated (ugN),con_soil_wt(g),inc_soil_wt(g),Moisture,Moisture,con_DM_wt,inc_DM_wt,con_NH4pergsoil,inc_NH4pergsoil,PMN(ugNH4-N/(gDM*Day))
Dec,_MI9_A_1,23.2,106.4,8.13,7.86,0.635298564,0.364701436,5.164977325,4.993446713,4.491791258,21.30792739,2.402305162
Dec,_MI9_A_2,26.4,109.2,8.21,8.12,0.61902712,0.38097288,5.082212655,5.026500214,5.194587828,21.72485732,2.361467071
Dec,_MI9_A_3,25.2,55.2,8.23,8.19,0.677888612,0.322111388,5.579023277,5.551907732,4.516919674,9.942528346,0.775086953
Dec,_MI9_A_4,13.6,100,8.49,8.38,0.591749033,0.408250967,5.02394929,4.958856897,2.707033693,20.16593785,2.494129166
Dec,_MI9_A_5,20.4,124.4,8.57,8.18,0.534490239,0.465509761,4.580581348,4.372130155,4.45358317,28.45294984,3.428480953
Dec,_MI9_A_6,12,71.2,8.19,8.27,0.666800805,0.333199195,5.461098593,5.514442657,2.197360072,12.91154962,1.530598507
Dec,_MI9_A_7,64,171.6,7.99,8.49,0.548265775,0.451734225,4.380643542,4.65477643,14.60972558,36.86535811,3.179376076
Dec,_MI9_A_8,90.8,126.8,8.01,8.45,0.693609818,0.306390182,5.555814642,5.861002962,16.34323782,21.63452242,0.7558978
Dec,_MI9_A_9,45.2,69.6,7.86,8.48,0.699741156,0.300258844,5.499965486,5.933805003,8.21823339,11.72940465,0.501595895
Dec,_MI9_A_10,54,90,8,8.61,0.665669089,0.334330911,5.325352712,5.731410856,10.14017342,15.70293986,0.794680921
Dec,_MI9_A_11,72.4,170,7.76,8.11,0.582887701,0.417112299,4.52320856,4.727219255,16.00633688,35.96194524,2.850801194
Dec,_MI9_A_12,26.4,100.8,8.4,7.89,0.432237731,0.567762269,3.63079694,3.410355698,7.271130948,29.5570342,3.183700465
Dec,_Ag_A_1,21.2,106,8.32,8.31,0.733485194,0.266514806,6.102596814,6.095261962,3.473930959,17.3905569,1.988089421
Dec,_Ag_A_2,27.6,70.4,8.14,8.45,0.71796906,0.28203094,5.844268148,6.066838557,4.722575915,11.60406682,0.983070129
Dec,_Ag_A_3,47.2,117.6,8.08,8.21,0.757654966,0.242345034,6.121852125,6.220347271,7.71008496,18.90569688,1.599373132
Dec,_Ag_A_4,30.4,,8.1,8.22,0.750414594,0.249585406,6.078358211,6.168407963,5.00135052,,
Dec,_Ag_A_5,22.8,100.8,8.15,8.48,0.814981273,0.185018727,6.642097375,6.911041195,3.432650669,14.58535656,1.593243698
Dec,_Ag_A_6,37.6,107.6,8.45,8.34,0.728314239,0.271685761,6.15425532,6.074140753,6.109593777,17.71443968,1.657835129
Dec,_Ag_A_7,38.4,122.8,8.58,8.54,0.761547127,0.238452873,6.53407435,6.503612465,5.876884459,18.88181386,1.857847058
Dec,_Ag_A_8,21.2,46.4,8.45,8.14,0.786087656,0.213912344,6.642440693,6.39875352,3.191597935,7.251412303,0.579973481
Dec,_Ag_A_9,58.8,189.2,8.27,8.26,0.766372333,0.233627667,6.337899194,6.330235471,9.277522125,29.88830366,2.944397362
Dec,_Ag_A_10,36,106.8,8.28,8.05,0.784161491,0.215838509,6.492857145,6.312500003,5.544554453,16.91881187,1.624893917
Dec,_Ag_A_11,34.4,131.6,8.08,8.25,0.752373418,0.247626582,6.079177217,6.207080699,5.658660501,21.20159321,2.220418959
Dec,_Ag_A_12,45.2,141.2,8.39,8.24,0.753440367,0.246559633,6.321364679,6.208348624,7.150354756,22.74356815,2.227601913
