,NH4-control,NH4_incubated,con_soil_wt,inc_soil_wt,Moisture,con_DM_wt,inc_DM_wt,con_NH4pergsoil,inc_NH4pergsoil,PMN(ugNH4-N/(gDM*Day))
July_MI9_A_1,25.6,167.2,8.16,8.66,0.486496767,3.969813619,4.213062002,6.448665469,39.68610002,4.748204936
July_MI9_A_2,60,92.4,8.5,8.74,0.501184834,4.260071089,4.380355449,14.08427201,21.09417856,1.001415221
July_MI9_A_3,84.8,90.4,8.73,8.37,0.529495771,4.622498081,4.431879603,18.345059,20.39766602,0.293229575
July_MI9_A_4,8.8,33.6,8.22,8.42,0.55292376,4.545033307,4.655618059,1.93617943,7.217086877,0.75441535
July_MI9_A_5,14,88.4,8.62,8.86,0.590431739,5.08952159,5.231225208,2.750749702,16.89852692,2.021111031
July_MI9_A_6,8,103.6,8.27,8.9,0.646176363,5.343878522,5.750969631,1.497040018,18.01435352,2.359616214
July_MI9_A_7,8,68.8,8.56,8.91,0.57587702,4.929507291,5.131064248,1.622880245,13.40852437,1.683663446
July_MI9_A_8,72,88.8,8.6,8.83,0.691397001,5.946014209,6.105035519,12.10895189,14.54536992,0.348059718
July_MI9_A_9,116.4,122,8.96,8.75,0.567028986,5.080579715,4.961503628,22.91077132,24.58931992,0.239792658
July_MI9_A_10,38,18.4,8.77,8.77,0.63746578,5.590574891,5.590574891,6.797154272,3.291253647,-0.500842946
July_MI9_A_11,67.6,107.2,8.45,8.64,0.598283931,5.055499217,5.169173164,13.37157758,20.73832634,1.05239268
July_MI9_A_12,12.4,93.2,8.71,8.52,0.501365587,4.366894263,4.271634801,2.839546656,21.81834458,2.711256846
July_Ag_A_1,4.8,9.2,8.5,8.25,0.836792837,7.112739115,6.903540905,0.674845502,1.332649451,0.093971993
July_Ag_A_2,5.6,63.2,8.16,8.13,0.833762413,6.80350129,6.778488418,0.823105598,9.323612597,1.214358143
July_Ag_A_3,5.6,43.6,8.05,8.29,0.888486604,7.152317162,7.365553947,0.782963042,5.919446156,0.733783302
July_Ag_A_4,4.4,41.2,8.84,8.21,0.883078231,7.806411562,7.250072277,0.563639255,5.682701969,0.731294673
July_Ag_A_5,6,38.8,8.14,8.32,0.880707528,7.168959278,7.327486633,0.836941565,5.295130779,0.636884173
July_Ag_A_6,4,36,8.71,8.29,0.869463869,7.573030299,7.207855474,0.528190149,4.994550755,0.638051515
July_Ag_A_7,4,89.6,8.75,8.42,0.879800307,7.698252686,7.407918585,0.519598429,12.09516533,1.653652414
July_Ag_A_8,3.6,20.8,8.11,8.51,0.861538462,6.987076927,7.331692312,0.515236921,2.836998488,0.331680224
July_Ag_A_9,4.8,101.6,8.21,8.41,0.889894419,7.30603318,7.484012064,0.656991268,13.57560612,1.845516408
July_Ag_A_10,17.2,39.2,8.36,8.63,0.889744629,7.438265098,7.678496148,2.312367168,5.10516633,0.398971309
July_Ag_A_11,5.2,22,8.77,8.32,0.87899361,7.70877396,7.313226835,0.674556035,3.008248,0.333384566
July_Ag_A_12,4.8,40.4,8.47,8.22,0.888846881,7.528533082,7.306321362,0.637574405,5.529458396,0.69884057
